From,To,Line,Load
Acton Town,Chiswick Park,District,8.511318785768039e-06
Acton Town,Ealing Common,District,8.922527518711488e-06
Acton Town,Ealing Common,Piccadilly,4.7437623990052295e-06
Acton Town,South Ealing,Piccadilly,2.1005698135676556e-06
Acton Town,Turnham Green,Piccadilly,1.435267332904141e-06
Aldgate,Liverpool Street LU,H&C and Circle,6.543429897616978e-06
Aldgate,Liverpool Street LU,Metropolitan,1.1498648905688452e-05
Aldgate,Tower Hill,H&C and Circle,6.258470409064727e-06
Aldgate East,Liverpool Street LU,H&C and Circle,3.7921377862130903e-06
Aldgate East,Tower Hill,District,1.5290020855632303e-06
Aldgate East,Whitechapel,District,1.792678437051059e-06
Aldgate East,Whitechapel,H&C and Circle,5.056510198706654e-06
Alperton,Park Royal,Piccadilly,5.439333088968768e-06
Alperton,Sudbury Town,Piccadilly,6.807175210723578e-06
Amersham,Chalfont & Latimer,Metropolitan,7.127650721373748e-05
Angel,King's Cross St. Pancras,Northern,9.963314643658855e-07
Angel,Old Street,Northern,1.015069355165933e-06
Archway,Highgate,Northern,1.8613619529648573e-06
Archway,Tufnell Park,Northern,1.5690294106173205e-06
Arnos Grove,Bounds Green,Piccadilly,4.566544393956651e-06
Arnos Grove,Southgate,Piccadilly,6.22461817392913e-06
Arsenal,Finsbury Park LU,Piccadilly,1.8752640438783837e-06
Arsenal,Holloway Road,Piccadilly,1.6098043539811844e-06
Baker Street,Bond Street,Jubilee,9.208356968802303e-07
Baker Street,Edgware Road (DIS),H&C and Circle,1.5931885773847956e-06
Baker Street,Finchley Road,Metropolitan,1.6737937010325423e-06
Baker Street,Great Portland Street,H&C and Circle,1.6262617683821055e-06
Baker Street,Great Portland Street,Metropolitan,1.968148014507021e-06
Baker Street,Marylebone LU,Bakerloo,1.2292775381905361e-06
Baker Street,Regent's Park,Bakerloo,1.2798234040823477e-06
Baker Street,St. John's Wood,Jubilee,1.126358184332561e-06
Balham LU,Clapham South,Northern,1.2257624296230103e-06
Balham LU,Tooting Bec,Northern,1.526384525723484e-06
Bank and Monument,Cannon Street LU,District,1.2619037568691575e-06
Bank and Monument,Cannon Street LU,H&C and Circle,6.015138308349373e-06
Bank and Monument,Liverpool Street LU,Central,6.892911268480305e-07
Bank and Monument,London Bridge LU,Northern,9.003487404741561e-07
Bank and Monument,Moorgate,Northern,9.086508744458315e-07
Bank and Monument,St. Paul's,Central,6.749028068145847e-07
Bank and Monument,Tower Hill,District,1.3053830430861888e-06
Bank and Monument,Tower Hill,H&C and Circle,6.532011411166375e-06
Bank and Monument,Waterloo LU,Waterloo & City,6.324567858346445e-06
Barbican,Farringdon,H&C and Circle,1.7642533166568686e-06
Barbican,Farringdon,Metropolitan,2.6780677879269606e-06
Barbican,Moorgate,H&C and Circle,1.7588705980287397e-06
Barbican,Moorgate,Metropolitan,2.727425984771749e-06
Barking,East Ham,District,2.5073689993894444e-06
Barking,East Ham,H&C and Circle,1.4038639673500448e-05
Barking,Upney,District,3.0299602193134954e-06
Barkingside,Fairlop,Central,1.2731511984639042e-05
Barkingside,Newbury Park,Central,9.233941114753662e-06
Barons Court,Earl's Court,Piccadilly,1.2622499138147488e-06
Barons Court,Hammersmith (DIS),District,2.2438208212898158e-06
Barons Court,Hammersmith (DIS),Piccadilly,1.2891777900084263e-06
Barons Court,West Kensington,District,1.8934500604409163e-06
Battersea Power Station,Nine Elms,Northern,4.999171088122921e-06
Bayswater,Notting Hill Gate,District,6.6331944448394326e-06
Bayswater,Notting Hill Gate,H&C and Circle,5.3466978497666175e-06
Bayswater,Paddington TfL,District,6.22431921494797e-06
Bayswater,Paddington TfL,H&C and Circle,8.903427922778146e-06
Becontree,Dagenham Heathway,District,4.029722498816744e-06
Becontree,Upney,District,3.337187855577969e-06
Belsize Park,Chalk Farm,Northern,1.6297421529712531e-06
Belsize Park,Hampstead,Northern,1.897985280143789e-06
Bermondsey,Canada Water,Jubilee,6.089362036788474e-07
Bermondsey,London Bridge LU,Jubilee,6.146618645019515e-07
Bethnal Green LU,Liverpool Street LU,Central,7.224370062514441e-07
Bethnal Green LU,Mile End,Central,7.423812622483228e-07
Blackfriars LU,Mansion House,District,1.1467290703365046e-06
Blackfriars LU,Mansion House,H&C and Circle,5.363176486603897e-06
