From,To,Line,Load,Inverse_Load
Acton Town,Chiswick Park,District,117490.60576512794,8.511318785768039e-06
Acton Town,Ealing Common,District,112075.86616044544,8.922527518711488e-06
Acton Town,Ealing Common,Piccadilly,210803.13807658257,4.7437623990052295e-06
Acton Town,South Ealing,Piccadilly,476061.3018148524,2.1005698135676556e-06
Acton Town,Turnham Green,Piccadilly,696734.3135836481,1.435267332904141e-06
Aldgate,Liverpool Street LU,H&C and Circle,152825.04980517717,6.543429897616978e-06
Aldgate,Liverpool Street LU,Metropolitan,86966.73915361428,1.1498648905688452e-05
Aldgate,Tower Hill,H&C and Circle,159783.4510093084,6.258470409064727e-06
Aldgate East,Liverpool Street LU,H&C and Circle,263703.4982314346,3.7921377862130903e-06
Aldgate East,Tower Hill,District,654021.3446678428,1.5290020855632303e-06
Aldgate East,Whitechapel,District,557824.5263244152,1.792678437051059e-06
Aldgate East,Whitechapel,H&C and Circle,197764.8537633284,5.056510198706654e-06
Alperton,Park Royal,Piccadilly,183846.0678254929,5.439333088968768e-06
Alperton,Sudbury Town,Piccadilly,146903.8138499308,6.807175210723578e-06
Amersham,Chalfont & Latimer,Metropolitan,14029.8681724301,7.127650721373748e-05
Angel,Old Street,Northern,985154.3590699084,1.015069355165933e-06
Archway,Highgate,Northern,537241.0231159808,1.8613619529648573e-06
Archway,Tufnell Park,Northern,637336.6829411815,1.5690294106173205e-06
Arnos Grove,Bounds Green,Piccadilly,218983.965495528,4.566544393956651e-06
Arnos Grove,Southgate,Piccadilly,160652.42430264212,6.22461817392913e-06
Arsenal,Finsbury Park LU,Piccadilly,533258.2380942046,1.8752640438783837e-06
Arsenal,Holloway Road,Piccadilly,621193.4994006658,1.6098043539811844e-06
Baker Street,Edgware Road (DIS),H&C and Circle,627672.087406935,1.5931885773847956e-06
Baker Street,Finchley Road,Metropolitan,597445.1925485875,1.6737937010325423e-06
Baker Street,Great Portland Street,H&C and Circle,614907.1566718653,1.6262617683821055e-06
Baker Street,Great Portland Street,Metropolitan,508091.867394678,1.968148014507021e-06
Baker Street,Marylebone LU,Bakerloo,813485.9451446363,1.2292775381905361e-06
Baker Street,Regent's Park,Bakerloo,781357.8004670221,1.2798234040823477e-06
Baker Street,St. John's Wood,Jubilee,887817.049593832,1.126358184332561e-06
Balham LU,Clapham South,Northern,815818.7719194129,1.2257624296230103e-06
Balham LU,Tooting Bec,Northern,655142.9100252537,1.526384525723484e-06
Barbican,Farringdon,H&C and Circle,566812.0278186168,1.7642533166568686e-06
Barbican,Farringdon,Metropolitan,373403.5428483609,2.6780677879269606e-06
Barbican,Moorgate,H&C and Circle,568546.6577932189,1.7588705980287397e-06
Barbican,Moorgate,Metropolitan,366646.0632051533,2.727425984771749e-06
